chain_id,chain_name,product_group_ids,default_product_group_id
140718,Cinnabon,[30],30.0
52874,2 Берега,"[1, 2, 18, 26]",1.0
163818,ТУСИМБА,"[1, 2, 27, 34, 37]",2.0
139422,ВкусНота,"[1, 2, 34, 42]",42.0
149418,Филадельфия,"[1, 2, 5, 23]",2.0
166754,Ollis,"[2, 23, 26]",2.0
109886,Foodtaxi,"[1, 2, 18]",1.0
106646,Pizza Parmesan,"[1, 2, 23]",1.0
29982,Papa Toni,"[1, 23]",1.0
17802,Ollis,"[2, 23, 26]",2.0
7714,Якитория,"[2, 18, 36, 40, 51]",40.0
109298,FoodHome,"[1, 2, 6, 18]",2.0
112358,Япошка,"[2, 18]",2.0
120446,PIZZASUSHIWOK,"[1, 2, 18, 51]",1.0
39578,Sushi for Friends,"[1, 2]",2.0
63522,Dostaевский,"[1, 2, 3, 18]",2.0
149386,PIZZA 24/7,"[1, 2]",1.0
122174,Румянцев,"[1, 2, 3]",3.0
1502,Чайхона №1,"[5, 22, 37, 44, 51]",44.0
120158,ПИПОНИ,"[1, 42]",1.0
49654,Yami Yami,"[1, 2, 24, 34]",2.0
60074,Суши от Маши,"[2, 5, 20, 41]",2.0
114418,KFC,"[6, 26]",6.0
14750,Pro Sushi,"[1, 2, 6, 24]",2.0
125002,BIG BOSS Burger,[6],6.0
84174,MaMa MiA,"[1, 24, 40, 43, 51]",43.0
143618,Джо не делится едой,"[1, 2, 6]",1.0
70110,КД Роллы,"[2, 40]",40.0
3222,PRONTO,"[1, 2, 23]",1.0
105438,Mario,"[1, 2, 3, 33]",1.0
114142,ToGo Pizza,"[1, 2, 42]",1.0
127102,Domino’s Pizza,"[1, 26]",1.0
56050,2 Берега,"[1, 2, 18, 26]",1.0
105178,Румянцев,"[1, 2, 3, 6]",3.0
98674,ЧЕРНЫЙ БЫК,"[1, 2, 6, 33]",6.0
116226,Foodtaxi,"[1, 2]",1.0
56046,2 Берега,"[1, 2, 18, 26]",1.0
3106,Тануки,"[2, 18, 36, 40]",40.0
107590,People's food,"[1, 2, 5, 6, 51]",1.0
114178,РОЛЛЫ №1,"[2, 20, 36]",2.0
306,Сити Пицца,"[1, 26, 28, 29]",1.0
104638,FOODZIYAMA,"[2, 18, 40]",40.0
159858,Лапшичная Лисицын,"[39, 40]",39.0
9218,TacoLand,"[26, 29, 35]",35.0
50,Нияма,"[1, 2, 40, 47, 51]",40.0
111990,Вкусно & Быстро,"[1, 2, 43]",1.0
56074,Corneli pizza,[1],1.0
147306,РОСС,"[1, 2]",1.0
158826,Хочу шашлык,[5],5.0
112138,Sushi York,"[1, 2]",2.0
123510,Папа Джонс,"[1, 26]",1.0
108730,Burger King,"[6, 26]",6.0
105282,BiG Sushi,"[2, 40]",2.0
7974,FoodBand,"[1, 2, 18, 40, 51]",1.0
149390,Amsterdam,"[1, 2, 36]",2.0
159218,Шашлык на Пятницкой,"[5, 20]",5.0
165298,Мангальный Домик,"[5, 19]",19.0
126790,Yami Yami,"[1, 2, 24, 34]",2.0
36574,WoKING,"[2, 18, 27, 40]",2.0
40370,Секреты Ханая,"[1, 2, 23, 27]",2.0
171254,Остров Суши,"[1, 2, 6]",2.0
27890,Roll & Wok,"[1, 2, 18, 40]",2.0
51842,Точка еды,"[1, 2, 6, 18, 24, 29, 40, 51]",1.0
32674,Mito,"[1, 2, 18, 40]",2.0
122742,Level Kitchen,"[33, 34, 48]",33.0
51738,Крафт Бургер Бар,"[6, 25]",6.0
118750,Гиро,"[1, 2, 32, 36]",2.0
120574,PIZZASUSHIWOK,"[1, 2, 18, 51]",1.0
157090,Ультра Пицца,[1],1.0
166,ТрансПицца,"[1, 26, 42, 47, 51]",1.0
108530,САХАРА,"[5, 19, 22, 24]",5.0
6202,Menza,"[2, 24, 36, 40, 51]",36.0
125082,WOK МАГИЯ,"[2, 18, 40]",2.0
786,Маки Маки,"[2, 18, 36, 40]",2.0
107510,Много лосося,"[2, 20, 36, 48]",20.0
124422,Империя пиццы,"[1, 2, 18, 24, 51]",1.0
112634,Суаре,"[1, 2, 18, 33]",2.0
107702,PIZZA HOUSE,"[1, 2, 29, 40]",1.0
153722,Васаби,"[2, 18, 40, 48]",2.0
73770,Оджах,"[1, 5]",1.0
159670,PIZZAZZ,"[1, 2]",1.0
122538,Сушилочка,"[1, 2, 19, 40]",40.0
36618,Сибирский Гриль,"[1, 2, 6, 29]",29.0
30842,КД Пицца,"[1, 2, 40]",1.0
138290,Joker's Smile,"[1, 2, 42]",1.0
77274,IMPERATOR FOOD,"[1, 2, 18, 20, 51]",2.0
62150,Subway,[29],29.0
127690,Foodtaxi,"[1, 2]",1.0
170894,Сакура,[40],40.0
110278,Моцарелла,"[1, 2, 40, 42]",2.0
153794,Утесофф,[25],25.0
121690,ТАКАО 51,"[1, 2, 26]",2.0
127894,Bravo,"[2, 18, 40]",2.0
7910,Prince Pizza,"[1, 2, 5, 18]",1.0
618,Папа Джонс,"[1, 26]",1.0
56030,2 Берега,"[1, 2, 18, 26]",1.0
106250,Soprano,"[1, 6, 19, 23]",1.0
120458,Яства,"[1, 2, 6, 26]",2.0
5858,Chipolla Pizza,"[1, 2, 18, 40]",1.0
116350,ASIAROOM,"[18, 25, 36]",36.0
105590,Gusto,"[1, 2, 6, 28]",1.0
63554,Пироги Домой,"[1, 2, 3, 18]",3.0
17682,Тануки,"[2, 18, 36, 40]",40.0
118130,С лёгким паром!,"[24, 25, 43]",43.0
156034,Базара нет by Doni,"[5, 44]",44.0
120982,Level Kitchen,"[33, 34, 48]",33.0
2594,УРЮК,"[5, 21, 22, 44, 51]",44.0
168498,Та самая Шаурма на Средном,"[5, 6, 19]",19.0
54790,Шоколадница,"[26, 27, 42, 43]",42.0
122142,Pizzarello,"[1, 2, 23]",1.0
146158,Тимьян пицца,"[1, 2, 5, 40]",2.0
4294,Ёрш,"[5, 20, 25, 43, 51]",43.0
63530,КОЛИБРИ ,"[1, 2, 20, 41]",2.0
83742,ROYAL KEBAB,"[6, 19, 27]",27.0
172838,Pro Sushi,"[1, 2, 6, 24]",2.0
111150,PizzaBurger,"[1, 2, 6, 18]",1.0
